no_months,age,gender,income,no_months_ctr,no_months_ctr_end,phones,age_head_hh,edu_head_hh,income_head_hh,house_type,work_situation,no_calls,no_minutes,no_msgs,no_calls6,no_minutes6,no_msgs6,servcon,acq_costs,switch
28,39,M,38.89,16,7.000,2,,,,,,63,123.93,24,62,138.60,13,0,400.00,0
113,45,V,33.94,29,-5.000,2,,,,,,21,95.95,36,26,87.73,85,0,400.00,0
110,57,,13.21,16,-4.000,3,,,,,,55,82.83,2,56,85.77,4,0,400.00,0
111,,,16.66,25,-13.000,2,,,,,,16,33.82,2,8,12.07,4,0,400.00,0
111,58,V,15.80,24,-1.000,1,,,,,,16,23.90,1,16,26.48,1,0,400.00,0
110,35,V,12.70,25,-13.000,3,,,,,,9,6.23,13,15,11.17,10,0,400.00,0
108,27,M,115.55,21,2.000,3,4,3,5,5,2,199,540.92,26,179,411.72,18,0,400.00,0
109,49,M,29.74,16,8.000,1,4,2,3,4,1,10,21.77,2,14,24.77,1,1,400.00,0
38,32,M,40.30,26,-2.000,2,0,0,0,0,0,232,253.05,0,315,317.38,2,0,400.00,0
108,40,M,21.65,29,-5.000,1,5,1,1,3,2,12,29.12,4,24,66.32,11,0,400.00,0
108,,,209.66,12,11.000,4,2,2,1,4,2,261,375.43,54,289,445.82,41,0,400.00,0
108,44,M,24.19,27,-12.000,3,2,3,1,1,2,45,46.90,0,40,58.80,3,1,400.00,0
37,31,V,19.35,25,-1.000,2,2,3,5,4,1,9,5.32,0,28,34.02,3,0,400.00,0
108,65,M,30.36,46,-22.000,1,,,,,,84,93.10,18,87,99.90,22,0,400.00,0
105,80,M,21.08,21,2.000,1,3,3,5,1,1,7,5.72,0,9,13.17,1,0,400.00,0
34,26,M,15.18,22,0.000,3,1,1,4,1,4,31,26.97,0,54,47.73,2,1,400.00,0
104,39,M,73.75,20,10.000,4,3,2,2,4,1,142,285.68,98,167,400.10,99,0,400.00,0
103,47,M,884.73,11,14.000,6,4,2,3,4,1,76,134.85,236,58,95.25,243,0,400.00,0
87,36,,173.46,38,-4.000,3,4,3,5,3,1,232,244.28,24,268,296.30,20,0,400.00,0
101,52,V,43.31,23,7.000,4,4,1,2,3,1,119,120.33,89,78,95.78,58,0,400.00,0
102,37,M,209.52,16,7.000,7,3,2,2,1,1,380,1388.70,32,325,1204.08,34,1,400.00,0
90,47,V,17.55,42,-18.000,1,4,2,2,4,1,20,23.83,18,40,33.97,27,0,400.00,0
97,23,M,21.96,22,1.000,4,4,1,3,1,1,40,45.83,27,49,53.42,29,0,400.00,0
78,70,M,9.93,31,-7.000,2,6,1,3,2,3,5,5.58,1,6,5.12,1,0,400.00,0
100,45,M,30.74,8,17.000,2,4,3,4,4,1,25,25.30,24,18,19.70,6,0,400.00,0
87,52,M,59.43,13,10.000,3,1,3,5,1,4,35,31.27,238,23,16.95,117,0,400.00,0
54,24,M,22.94,20,-6.000,7,1,1,3,3,4,17,61.18,89,17,46.25,182,0,400.00,0
97,29,M,25.60,11,13.000,2,3,3,5,1,1,98,127.93,2,115,141.23,4,0,400.00,0
75,25,M,44.93,31,-4.000,5,1,2,3,4,1,151,105.25,75,155,133.28,53,0,400.00,0
48,,,17.71,36,-12.000,1,2,3,5,2,1,27,15.45,12,14,10.35,8,0,400.00,0
95,,,80.09,23,0.000,2,2,1,3,1,1,114,220.50,20,128,207.35,20,0,400.00,0
68,,,154.95,30,-6.000,3,6,3,1,5,2,441,779.12,7,522,867.15,4,0,400.00,0
94,60,M,65.78,15,8.000,3,5,3,5,3,1,16,22.98,168,26,24.78,37,0,400.00,0
85,,,34.36,12,13.000,3,0,0,0,0,0,141,212.42,0,123,190.03,4,0,400.00,0
93,42,M,19.32,22,-8.000,2,2,1,2,3,1,18,34.18,0,23,68.03,1,0,400.00,0
93,63,M,31.17,47,-19.000,1,5,2,4,5,1,31,61.38,0,38,74.15,1,0,400.00,0
87,,,89.53,16,7.000,4,0,0,0,0,0,21,88.25,17,86,259.15,5,0,400.00,0
84,57,M,12.30,19,4.000,5,1,1,1,1,4,97,71.98,43,129,178.90,58,0,400.00,0
85,,,15.58,28,-4.000,3,0,0,0,0,0,67,80.37,29,64,70.95,37,0,400.00,0
90,35,M,25.20,37,-8.000,2,3,1,3,1,1,29,33.15,1,36,43.83,7,0,400.00,0
89,55,V,21.52,8,15.000,2,2,1,3,4,1,12,12.37,11,25,27.30,14,0,400.00,0
89,39,,19.44,27,4.000,3,3,3,5,3,1,42,79.07,5,45,59.67,1,0,400.00,0
89,39,V,40.43,38,-11.000,3,3,3,3,1,1,134,169.63,6,126,192.78,6,0,400.00,0
88,,,43.37,22,6.000,6,3,3,5,1,1,137,134.63,20,184,184.57,33,0,400.00,0
88,26,M,17.86,9,2.000,3,6,2,3,3,5,32,85.72,124,68,157.42,121,0,400.00,0
88,62,V,12.20,40,-16.000,2,6,3,5,5,3,7,16.48,0,6,28.40,2,0,400.00,0
88,57,M,25.20,20,3.000,2,5,2,2,4,1,50,49.45,0,68,70.00,1,0,400.00,0
87,64,M,27.71,18,-6.000,5,5,1,2,2,2,31,23.55,3,72,68.68,6,0,400.00,0
87,70,M,12.11,28,-4.000,3,6,1,3,2,3,8,13.65,2,11,9.20,4,0,400.00,0
78,21,V,14.34,11,12.000,3,3,2,4,3,1,33,34.40,68,27,20.78,64,0,400.00,0
86,45,V,96.17,30,-3.000,5,5,3,5,1,1,72,49.62,286,155,107.52,419,0,400.00,0
86,29,M,57.97,10,1.000,3,2,3,4,2,1,79,57.47,143,107,104.65,144,0,400.00,0
85,,,73.55,26,4.000,1,3,3,5,2,1,103,141.60,21,102,135.98,30,0,400.00,0
84,49,V,29.01,27,-3.000,2,4,1,4,2,1,20,62.05,31,34,75.42,13,0,400.00,0
79,57,V,21.70,18,5.000,2,5,1,3,2,1,32,88.83,4,27,63.93,13,1,400.00,0
71,43,V,24.13,25,-1.000,8,3,1,3,1,1,88,56.32,80,78,68.33,98,0,400.00,0
71,23,M,26.11,11,12.000,3,4,2,3,1,1,102,151.18,12,73,78.03,12,0,400.00,0
70,41,,46.47,14,9.000,10,6,2,1,4,3,151,139.93,13,170,164.27,7,0,400.00,0
81,25,M,124.28,16,9.000,2,4,2,4,4,1,86,90.27,50,74,119.08,85,0,400.00,0
80,47,M,17.96,17,6.000,2,5,3,4,5,1,27,20.30,5,40,47.78,8,0,400.00,0
78,,,70.64,41,-17.000,1,4,2,4,4,1,130,256.75,30,122,256.78,10,0,400.00,0
78,45,V,12.26,49,-25.000,2,3,3,5,1,1,5,7.00,6,13,16.47,3,0,400.00,0
77,70,V,41.06,22,-10.000,1,6,3,5,2,5,19,15.22,39,12,11.12,15,0,400.00,0
77,33,V,18.09,24,-1.000,1,3,2,4,4,1,16,12.90,8,17,13.98,6,1,400.00,0
75,68,M,9.31,10,13.000,2,6,2,3,4,3,16,17.83,1,17,16.33,6,0,400.00,0
75,52,M,15.62,17,6.000,2,4,3,4,3,1,14,27.15,8,22,29.85,16,0,400.00,0
60,,,13.09,48,-36.000,2,3,3,5,1,1,0,0.00,0,12,32.72,1,0,400.00,0
75,60,M,23.58,21,2.000,2,5,1,3,1,1,27,35.88,48,22,21.93,51,1,400.00,0
69,,,54.57,29,-5.000,4,3,2,1,2,1,39,51.12,0,57,66.95,2,0,400.00,0
74,,,69.42,17,7.000,3,2,3,4,3,1,194,376.62,48,187,386.47,28,0,400.00,0
74,,,32.51,17,6.000,6,0,0,0,0,0,65,44.77,58,41,24.60,66,0,400.00,0
70,,,54.90,35,-11.000,2,3,3,4,3,1,132,328.32,1,113,272.20,5,0,400.00,0
70,63,M,26.81,9,14.000,2,5,2,2,5,2,33,81.80,0,55,90.70,1,0,400.00,0
69,52,M,41.96,24,5.000,2,4,2,2,5,1,129,179.90,320,133,246.97,255,0,400.00,0
68,,,129.17,8,5.000,3,2,3,5,1,1,572,703.90,29,444,554.02,21,0,400.00,0
68,62,M,23.80,25,-1.000,3,6,3,5,1,3,45,59.92,1,30,42.47,6,0,400.00,0
67,,,52.76,12,11.000,2,5,2,3,1,1,50,26.27,2,204,320.70,6,0,400.00,0
67,32,M,9.59,55,-31.000,1,2,3,4,1,1,5,3.43,1,11,4.75,2,0,400.00,0
46,,,14.71,34,-10.000,3,0,0,0,0,0,17,15.93,1,23,31.20,2,0,400.00,0
41,48,M,76.52,26,-2.000,6,1,2,3,2,4,179,242.72,12,184,245.70,10,0,400.00,0
66,26,V,25.34,36,-12.000,2,3,2,3,4,1,76,62.90,78,60,54.23,119,1,400.00,0
64,34,M,43.47,26,6.000,5,3,2,2,4,1,174,182.25,12,237,352.12,15,0,400.00,0
28,30,M,14.46,16,7.000,2,2,1,5,1,1,3,0.30,1,9,23.43,5,0,400.00,0
62,40,M,47.90,24,0.000,6,3,3,5,1,1,79,114.65,0,47,81.63,3,0,400.00,0
62,47,M,97.84,20,3.000,2,5,1,2,5,1,356,487.32,52,409,518.78,50,1,400.00,0
61,57,M,16.57,49,-37.000,2,6,1,3,2,3,13,33.03,8,15,52.92,5,0,400.00,0
61,35,M,103.75,26,9.000,2,3,2,1,5,1,225,469.80,92,101,212.25,122,0,400.00,0
49,34,V,214.59,15,8.000,10,5,2,4,4,1,234,754.62,139,395,806.88,168,0,400.00,0
40,59,M,15.74,28,-4.000,6,5,2,5,4,1,14,10.58,0,45,31.02,6,0,400.00,0
26,56,M,14.30,14,9.000,1,4,1,4,2,1,4,5.58,0,9,16.83,1,0,400.00,0
51,26,V,27.44,20,3.000,2,4,2,4,3,1,44,50.97,44,26,23.48,89,0,400.00,0
59,,,12.42,22,1.000,4,,,,,,43,28.70,13,57,62.78,9,0,400.00,0
59,85,M,53.47,28,0.000,1,6,2,2,4,3,84,174.68,77,65,99.17,74,1,400.00,0
58,,,90.01,8,17.000,6,0,0,0,0,0,459,296.68,74,330,196.45,56,0,400.00,0
146,41,M,86.89,14,9.000,3,3,3,5,1,1,496,817.52,300,285,580.65,234,1,400.00,0
57,42,M,89.50,15,8.000,3,3,2,4,1,1,444,594.27,39,342,504.73,23,0,400.00,0
57,38,M,86.72,14,-2.000,4,5,1,5,1,5,265,421.68,63,262,422.07,68,0,400.00,0
57,23,V,31.61,21,2.000,2,4,3,5,2,1,37,92.47,22,59,122.75,41,0,400.00,0
